name,available,from_bus_name,from_bus_id,to_bus_name,to_bus_id,r,x,b,rating,angle_limits,from_bus_voltage,to_bus_voltage,from_bus_area,to_bus_area,active_power_flow,reactive_power_flow
bus-6354-bus-6384-i_7900,true,bus-6354,6354,bus-6384,6384,0.00281585331,0.0100590975,"(from = 8.35877265e-5, to = 8.35877265e-5)",1.6,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7942-bus-8063-i_460,true,bus-7942,7942,bus-8063,8063,0.00143175694,0.00359904504,"(from = 0.0002248216555, to = 0.0002248216555)",1.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-2577-bus-2043-i_343,true,bus-2577,2577,bus-2043,2043,7.33017887e-5,0.000193722734,"(from = 1.093349495e-5, to = 1.093349495e-5)",1.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-5784-bus-5772-i_6877,true,bus-5784,5784,bus-5772,5772,0.00147377331,0.00408224544,"(from = 2.82072703e-5, to = 2.82072703e-5)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4108-bus-4105-i_3556,true,bus-4108,4108,bus-4105,4105,0.00670230112,0.0173701463,"(from = 0.000137463517, to = 0.000137463517)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-8339-bus-8157-i_8234,true,bus-8339,8339,bus-8157,8157,0.00513496704,0.0637489559,"(from = 0.1154752965, to = 0.1154752965)",8.34,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-4862-bus-4864-i_4967,true,bus-4862,4862,bus-4864,4864,1.55036652e-5,0.000184947844,"(from = 0.0069366959, to = 0.0069366959)",17.25,"(min = -1.0472, max = 1.0472)",500.0,500.0,0,0,0.0,0.0
bus-4079-bus-4080-i_3510,true,bus-4079,4079,bus-4080,4080,0.000490464138,0.00183986933,"(from = 1.384143575e-5, to = 1.384143575e-5)",1.6,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-6259-bus-6263-i_7731,true,bus-6259,6259,bus-6263,6263,0.000764616971,0.00202124836,"(from = 1.536139295e-5, to = 1.536139295e-5)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4751-bus-4752-i_4704,true,bus-4751,4751,bus-4752,4752,0.00541585405,0.0125735412,"(from = 7.8264266e-5, to = 7.8264266e-5)",1.14,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-8807-bus-4738-i_4665,true,bus-8807,8807,bus-4738,4738,0.00367173901,0.00843548253,"(from = 5.3626924e-5, to = 5.3626924e-5)",2.28,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-5500-bus-8559-i_6333,true,bus-5500,5500,bus-8559,8559,0.0286068081,0.0560643334,"(from = 0.000351733965, to = 0.000351733965)",0.41,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4850-bus-4851-i_4927,true,bus-4850,4850,bus-4851,4851,0.00617523255,0.0143365343,"(from = 8.92380985e-5, to = 8.92380985e-5)",2.28,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-2180-bus-2179-i_4275,true,bus-2180,2180,bus-2179,2179,0.0184769504,0.0283046091,"(from = 0.0001663538045, to = 0.0001663538045)",0.35,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-3413-bus-3414-i_2101,true,bus-3413,3413,bus-3414,3414,7.58767788e-5,0.00051475066,"(from = 0.000468572089, to = 0.000468572089)",3.66,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-8630-bus-8315-i_4569,true,bus-8630,8630,bus-8315,8315,0.000348762585,0.00488893052,"(from = 0.004686824545, to = 0.004686824545)",5.79,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-7132-bus-879-i_9114,true,bus-7132,7132,bus-879,879,0.00594627001,0.00817398432,"(from = 0.000149153978, to = 0.000149153978)",0.57,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-1554-bus-4700-i_4519,true,bus-1554,1554,bus-4700,4700,0.0733045212,0.0720116069,"(from = 0.000508762645, to = 0.000508762645)",0.3,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4879-bus-1635-i_5001,true,bus-4879,4879,bus-1635,1635,3.08036349e-5,0.000212182688,"(from = 0.00018727504, to = 0.00018727504)",3.66,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-8724-bus-1840-i_9973,true,bus-8724,8724,bus-1840,1840,4.82566044e-5,0.000327374437,"(from = 0.0002980054715, to = 0.0002980054715)",3.66,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-2575-bus-8306-i_151,true,bus-2575,2575,bus-8306,8306,0.0217254592,0.0605870268,"(from = 0.003066557555, to = 0.003066557555)",1.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-6810-bus-8589-i_8498,true,bus-6810,6810,bus-8589,8589,1.76899177e-5,0.000203747523,"(from = 0.000216942009, to = 0.000216942009)",10.56,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-4278-bus-8373-i_3911,true,bus-4278,4278,bus-8373,8373,0.000739840807,0.00410496222,"(from = 0.000300871356, to = 0.000300871356)",2.05,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-6440-bus-6381-i_7940,true,bus-6440,6440,bus-6381,6381,0.00290812984,0.010388738,"(from = 8.63269305e-5, to = 8.63269305e-5)",0.8,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-3033-bus-1379-i_1337,true,bus-3033,3033,bus-1379,1379,0.00366689746,0.0105171129,"(from = 0.00062398442, to = 0.00062398442)",1.28,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-2599-bus-2598-i_384,true,bus-2599,2599,bus-2598,2598,0.000224541404,0.000927068143,"(from = 5.28878925e-5, to = 5.28878925e-5)",1.59,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-2828-bus-2826-i_964,true,bus-2828,2828,bus-2826,2826,2.66548217e-5,0.000180827208,"(from = 0.0001646050805, to = 0.0001646050805)",3.66,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-2384-bus-4565-i_4304,true,bus-2384,2384,bus-4565,4565,0.00860765478,0.0246877881,"(from = 0.0001589070805, to = 0.0001589070805)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4705-bus-2333-i_4523,true,bus-4705,4705,bus-2333,2333,0.00109711197,0.00191519662,"(from = 1.241303925e-5, to = 1.241303925e-5)",0.78,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-163-bus-162-i_2271,true,bus-163,163,bus-162,162,0.0301325165,0.0560281169,"(from = 0.000548885945, to = 0.000548885945)",0.57,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4150-bus-649-i_3655,true,bus-4150,4150,bus-649,649,0.00890332879,0.0255358193,"(from = 0.000164365596, to = 0.000164365596)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-1473-bus-5074-i_5402,true,bus-1473,1473,bus-5074,5074,0.00550278969,0.0104000125,"(from = 7.0404275e-5, to = 7.0404275e-5)",0.41,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-5529-bus-8404-i_5029,true,bus-5529,5529,bus-8404,8404,0.00458874168,0.0183715725,"(from = 0.00111600687, to = 0.00111600687)",1.59,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-4579-bus-4580-i_4322,true,bus-4579,4579,bus-4580,4580,0.000113696285,0.000263916573,"(from = 1.9387071e-5, to = 1.9387071e-5)",1.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-2789-bus-1724-i_847,true,bus-2789,2789,bus-1724,1724,0.0131356934,0.0276077348,"(from = 0.000210519511, to = 0.000210519511)",0.57,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-2182-bus-4553-i_4291,true,bus-2182,2182,bus-4553,4553,0.0355694128,0.0539473933,"(from = 0.0003236366715, to = 0.0003236366715)",0.35,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-2454-bus-2455-i_72,true,bus-2454,2454,bus-2455,2455,0.00205929226,0.00697390887,"(from = 0.000179039101, to = 0.000179039101)",1.1,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-5949-bus-5948-i_7187,true,bus-5949,5949,bus-5948,5948,0.0126013652,0.0484800033,"(from = 0.0003463869675, to = 0.0003463869675)",0.8,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-8574-bus-2817-i_937,true,bus-8574,8574,bus-2817,2817,0.0449120934,0.122312168,"(from = 0.0064998613, to = 0.0064998613)",1.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-5766-bus-7871-i_6822,true,bus-5766,5766,bus-7871,7871,0.0191523116,0.0543485495,"(from = 0.000357417052, to = 0.000357417052)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-5807-bus-5801-i_6911,true,bus-5807,5807,bus-5801,5801,0.000466996368,0.00123449475,"(from = 9.38210225e-6, to = 9.38210225e-6)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-1471-bus-5157-i_5570,true,bus-1471,1471,bus-5157,5157,0.00393370045,0.00731419049,"(from = 7.16534415e-5, to = 7.16534415e-5)",0.57,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-3800-bus-3799-i_2888,true,bus-3800,3800,bus-3799,3799,0.0160520326,0.0412647764,"(from = 0.002463922785, to = 0.002463922785)",1.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-7077-bus-4387-i_8994,true,bus-7077,7077,bus-4387,4387,0.000197200237,0.00170807686,"(from = 0.00158847685, to = 0.00158847685)",4.17,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-3015-bus-3684-i_2676,true,bus-3015,3015,bus-3684,3684,0.00101686942,0.00453112386,"(from = 0.000296870071, to = 0.000296870071)",1.75,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-4770-bus-4768-i_7088,true,bus-4770,4770,bus-4768,4768,1.01820966e-5,8.90878235e-5,"(from = 8.11986585e-5, to = 8.11986585e-5)",4.17,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-4181-bus-654-i_3707,true,bus-4181,4181,bus-654,654,0.401533537,0.317913085,"(from = 0.001675403385, to = 0.001675403385)",0.24,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4050-bus-604-i_3458,true,bus-4050,4050,bus-604,604,0.000187377186,0.00034319611,"(from = 2.479830825e-6, to = 2.479830825e-6)",0.41,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-2662-bus-2663-i_549,true,bus-2662,2662,bus-2663,2663,0.00025070796,0.00170081275,"(from = 0.00154823371, to = 0.00154823371)",3.66,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-3602-bus-3601-i_2503,true,bus-3602,3602,bus-3601,3601,0.00310468962,0.00687147533,"(from = 4.715872705e-5, to = 4.715872705e-5)",0.57,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-8481-bus-5368-i_6033,true,bus-8481,8481,bus-5368,5368,0.0336114956,0.0706433577,"(from = 0.00053868993, to = 0.00053868993)",0.57,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-5733-bus-5734-i_6781,true,bus-5733,5733,bus-5734,5734,0.00136410529,0.00292319515,"(from = 2.14222664e-5, to = 2.14222664e-5)",0.57,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-3222-bus-1912-i_3985,true,bus-3222,3222,bus-1912,1912,5.67260904e-6,7.558636e-5,"(from = 0.0001354835805, to = 0.0001354835805)",8.71,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-6832-bus-6831-i_8549,true,bus-6832,6832,bus-6831,6831,0.000531345997,0.00677397444,"(from = 0.0115283827, to = 0.0115283827)",8.34,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-1946-bus-7050-i_8962,true,bus-1946,1946,bus-7050,7050,0.0206524951,0.022494727,"(from = 0.0001282021655, to = 0.0001282021655)",0.3,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-473-bus-8125-i_4705,true,bus-473,473,bus-8125,8125,0.00432059963,0.012391999,"(from = 7.97631765e-5, to = 7.97631765e-5)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-3379-bus-7616-i_2042,true,bus-3379,3379,bus-7616,7616,0.00576909056,0.0397577524,"(from = 0.0351148459, to = 0.0351148459)",3.66,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-401-bus-5436-i_6162,true,bus-401,401,bus-5436,5436,0.0161300143,0.0440655588,"(from = 0.000313258703, to = 0.000313258703)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7305-bus-7311-i_9462,true,bus-7305,7305,bus-7311,7311,0.00575700499,0.0103474626,"(from = 7.77780555e-5, to = 7.77780555e-5)",0.41,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-288-bus-5372-i_5385,true,bus-288,288,bus-5372,5372,0.00538065929,0.0426161247,"(from = 0.00060110924, to = 0.00060110924)",18.48,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4665-bus-8302-i_952,true,bus-4665,4665,bus-8302,8302,0.0161247452,0.12496168,"(from = 0.01056159055, to = 0.01056159055)",2.61,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-7576-bus-8398-i_9957,true,bus-7576,7576,bus-8398,8398,0.000224392084,0.00165013007,"(from = 0.00161328577, to = 0.00161328577)",3.83,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-7703-bus-2595-i_405,true,bus-7703,7703,bus-2595,2595,0.0119334324,0.0174677946,"(from = 0.000112880216, to = 0.000112880216)",0.35,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-5323-bus-5330-i_5951,true,bus-5323,5323,bus-5330,5330,0.0142016386,0.0387973869,"(from = 0.0002758072805, to = 0.0002758072805)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-3116-bus-8704-i_10098,true,bus-3116,3116,bus-8704,8704,0.000441801956,0.00404213649,"(from = 0.00389015454, to = 0.00389015454)",8.7,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-671-bus-5751-i_6808,true,bus-671,671,bus-5751,5751,0.00775456573,0.0222410201,"(from = 0.0001431579995, to = 0.0001431579995)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7571-bus-8685-i_9944,true,bus-7571,7571,bus-8685,8685,0.000435861283,0.00115189879,"(from = 6.50118845e-5, to = 6.50118845e-5)",1.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-5996-bus-6030-i_7273,true,bus-5996,5996,bus-6030,6030,0.000117575821,0.000325676503,"(from = 2.25034109e-6, to = 2.25034109e-6)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-1987-bus-2873-i_4351,true,bus-1987,1987,bus-2873,2873,0.000366134857,0.00256725636,"(from = 0.002185301015, to = 0.002185301015)",3.66,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-6732-bus-5715-i_64,true,bus-6732,6732,bus-5715,5715,0.000844546891,0.0023073243,"(from = 5.4722533e-5, to = 5.4722533e-5)",0.92,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-3099-bus-3109-i_10045,true,bus-3099,3099,bus-3109,3109,0.000655534566,0.00459648225,"(from = 0.003912643385, to = 0.003912643385)",3.66,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-2454-bus-2455-i_10100,true,bus-2454,2454,bus-2455,2455,0.00206446564,0.00699142884,"(from = 0.0001794888865, to = 0.0001794888865)",1.1,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-3955-bus-1610-i_3252,true,bus-3955,3955,bus-1610,1610,5.5349937e-5,0.000142281897,"(from = 8.49527405e-6, to = 8.49527405e-6)",1.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-5757-bus-5745-i_6801,true,bus-5757,5757,bus-5745,5745,0.0127430894,0.0365487753,"(from = 0.000235252815, to = 0.000235252815)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7260-bus-904-i_9376,true,bus-7260,7260,bus-904,904,0.109212783,0.0837752557,"(from = 0.0004707186025, to = 0.0004707186025)",0.24,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4048-bus-606-i_3440,true,bus-4048,4048,bus-606,606,0.000180623543,0.00031764681,"(from = 2.49824623e-6, to = 2.49824623e-6)",0.41,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7867-bus-5756-i_4744,true,bus-7867,7867,bus-5756,5756,0.0101187483,0.0223955091,"(from = 0.000153700593, to = 0.000153700593)",1.14,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7874-bus-8788-i_719,true,bus-7874,7874,bus-8788,8788,0.00374277614,0.0257862758,"(from = 0.02276587095, to = 0.02276587095)",3.66,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-150-bus-4077-i_3507,true,bus-150,150,bus-4077,4077,0.000571065806,0.00382420139,"(from = 0.000579740145, to = 0.000579740145)",3.81,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-3597-bus-3595-i_2487,true,bus-3597,3597,bus-3595,3595,0.00101486114,0.000996936656,"(from = 7.0433265e-6, to = 7.0433265e-6)",0.3,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7420-bus-969-i_9616,true,bus-7420,7420,bus-969,969,0.000618769265,0.000455245324,"(from = 2.786748405e-6, to = 2.786748405e-6)",0.24,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4791-bus-4792-i_4780,true,bus-4791,4791,bus-4792,4792,0.00520267404,0.00368530562,"(from = 2.438553445e-5, to = 2.438553445e-5)",0.24,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-1867-bus-2034-i_38,true,bus-1867,1867,bus-2034,2034,0.00539962535,0.00905807365,"(from = 0.00017510357, to = 0.00017510357)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-3098-bus-8814-i_1496,true,bus-3098,3098,bus-8814,8814,8.666283e-5,0.000603725991,"(from = 5.47259605e-5, to = 5.47259605e-5)",2.5,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-5859-bus-5850-i_6478,true,bus-5859,5859,bus-5850,5850,0.000163647054,0.000763019109,"(from = 7.3484468e-6, to = 7.3484468e-6)",0.96,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7636-bus-2806-i_10037,true,bus-7636,7636,bus-2806,2806,0.00476142933,0.0454212787,"(from = 0.04049609435, to = 0.04049609435)",8.7,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-238-bus-4279-i_3916,true,bus-238,238,bus-4279,4279,0.000129039829,0.000388387829,"(from = 2.929810025e-5, to = 2.929810025e-5)",1.42,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-5873-bus-501-i_7059,true,bus-5873,5873,bus-501,501,0.00804088033,0.0230622066,"(from = 0.000148443719, to = 0.000148443719)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-570-bus-2906-i_1111,true,bus-570,570,bus-2906,2906,0.010844077,0.080356464,"(from = 0.0099314388, to = 0.0099314388)",3.81,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-6003-bus-6001-i_7286,true,bus-6003,6003,bus-6001,6001,0.00432627983,0.0296963058,"(from = 0.0002265764985, to = 0.0002265764985)",1.15,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4403-bus-4402-i_4061,true,bus-4403,4403,bus-4402,4402,0.00265071355,0.00752188095,"(from = 4.9466362e-5, to = 4.9466362e-5)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7225-bus-7226-i_9291,true,bus-7225,7225,bus-7226,7226,0.0199112267,0.0305017701,"(from = 0.0001792671595, to = 0.0001792671595)",0.35,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-6251-bus-6246-i_7700,true,bus-6251,6251,bus-6246,6246,0.000218327126,0.00215602047,"(from = 1.93364892e-5, to = 1.93364892e-5)",1.54,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-5122-bus-5123-i_5513,true,bus-5122,5122,bus-5123,5123,0.00126522161,0.00858441093,"(from = 6.70466435e-5, to = 6.70466435e-5)",1.15,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-6114-bus-2082-i_7467,true,bus-6114,6114,bus-2082,2082,0.00583395687,0.0114334429,"(from = 7.1730074e-5, to = 7.1730074e-5)",0.41,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4510-bus-8161-i_1812,true,bus-4510,4510,bus-8161,8161,0.000528002998,0.0021139082,"(from = 0.0001284111155, to = 0.0001284111155)",3.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-2725-bus-2729-i_713,true,bus-2725,2725,bus-2729,2729,0.0402264275,0.101895754,"(from = 0.000844754675, to = 0.000844754675)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7398-bus-7395-i_9621,true,bus-7398,7398,bus-7395,7395,0.00513710599,0.00970888718,"(from = 6.5725607e-5, to = 6.5725607e-5)",0.41,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4031-bus-4034-i_3413,true,bus-4031,4031,bus-4034,4034,0.077687776,0.180375453,"(from = 0.00112284842, to = 0.00112284842)",0.57,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7256-bus-7828-i_9266,true,bus-7256,7256,bus-7828,7828,0.0118915128,0.0341063328,"(from = 0.0002195314795, to = 0.0002195314795)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4280-bus-1668-i_3909,true,bus-4280,4280,bus-1668,1668,3.81515651e-5,0.000109423112,"(from = 6.4920965e-6, to = 6.4920965e-6)",1.28,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-4539-bus-4544-i_4268,true,bus-4539,4539,bus-4544,4544,0.00571496767,0.0148113011,"(from = 0.000117213344, to = 0.000117213344)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-6633-bus-6634-i_8196,true,bus-6633,6633,bus-6634,6634,0.00288101607,0.00862740345,"(from = 0.0004686088385, to = 0.0004686088385)",1.28,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-6691-bus-2311-i_8296,true,bus-6691,6691,bus-2311,2311,0.00499450873,0.00731080386,"(from = 4.724378045e-5, to = 4.724378045e-5)",0.35,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-6465-bus-6467-i_8074,true,bus-6465,6465,bus-6467,6467,0.00210135085,0.0043183671,"(from = 3.446508035e-5, to = 3.446508035e-5)",0.57,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
