number,name,available,bustype,angle,magnitude,voltage_limits,base_voltage,area,load_zone
2221,bus-2221,true,PV,-0.034302920506583526,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2432,bus-2432,true,PQ,0.00048668413340345677,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
239,bus-239,true,PV,-0.005477610928189574,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
6254,bus-6254,true,PQ,5.236763886448058e-5,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1806,bus-1806,true,PV,-0.028022194193787084,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
7196,bus-7196,true,PQ,-0.034939455698354036,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
792,bus-792,true,PQ,0.009640247967546775,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
1159,bus-1159,true,PQ,-0.03227906061698166,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3534,bus-3534,true,PQ,-0.03825902167016478,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7633,bus-7633,true,PQ,-0.029329296926945633,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
100,bus-100,true,PQ,-0.03449960497611635,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
332,bus-332,true,PQ,-0.04555463320651811,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
700,bus-700,true,PV,0.0016564862561705667,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6488,bus-6488,true,PQ,0.001858365291560232,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7648,bus-7648,true,PQ,-0.03433285883737469,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4216,bus-4216,true,PQ,-0.00548613661723947,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6658,bus-6658,true,PQ,0.009219616444512916,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
5533,bus-5533,true,PQ,0.009931703082424602,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
7280,bus-7280,true,PQ,-0.03447019879621412,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2099,bus-2099,true,PQ,-0.0007499264529630707,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1249,bus-1249,true,PQ,-0.03344179337960667,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3308,bus-3308,true,PQ,-0.005529082014281118,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
1831,bus-1831,true,PQ,0.011287970588694534,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
3878,bus-3878,true,PQ,-0.03105667110426007,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
3577,bus-3577,true,PQ,-0.03427127489471807,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
587,bus-587,true,PQ,-0.03521646161632702,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
5135,bus-5135,true,PQ,0.005837681166788726,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2204,bus-2204,true,PV,-0.0013223056522461863,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2514,bus-2514,true,PQ,0.010431569464266226,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
8127,bus-8127,true,PQ,-0.02886537095847302,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
6498,bus-6498,true,PQ,-0.0031516224499357664,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3102,bus-3102,true,PQ,-0.03098287317296507,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
4690,bus-4690,true,PQ,0.0028488418411818715,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
843,bus-843,true,PQ,-0.03440550205883657,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
732,bus-732,true,PQ,0.0048955162558867935,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
3622,bus-3622,true,PQ,-0.037123121773992865,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4960,bus-4960,true,PQ,-0.0032812253292945244,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1502,bus-1502,true,PV,-0.03220119711572706,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
1855,bus-1855,true,PV,0.010149873637153606,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
3510,bus-3510,true,PQ,-0.052824897326144725,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7722,bus-7722,true,PQ,-0.03377850893115258,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
5568,bus-5568,true,PQ,-0.000503493751985923,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
66,bus-66,true,PQ,-0.036633061943432584,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2607,bus-2607,true,PQ,0.014041973332718134,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1522,bus-1522,true,PV,0.006704473405624753,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4483,bus-4483,true,PQ,-0.0347928716031314,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
897,bus-897,true,PQ,-0.03475695726498142,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1934,bus-1934,true,PQ,-0.0022372868663167607,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3775,bus-3775,true,PQ,-0.0321196492244215,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8565,bus-8565,true,PV,-0.0328177350230599,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
4463,bus-4463,true,PQ,-0.03496193431738924,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
28,bus-28,true,PV,-0.03238648999576504,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
370,bus-370,true,PQ,-0.0010521807070664783,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
913,bus-913,true,PQ,-0.03503946131916405,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6800,bus-6800,true,PQ,0.007741596410233357,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
415,bus-415,true,PQ,-0.00015049123483922976,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4916,bus-4916,true,PQ,0.012323431935135482,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8360,bus-8360,true,PQ,0.00796936709615308,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
8244,bus-8244,true,PQ,-0.006454195285283869,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
6812,bus-6812,true,PQ,0.0077012462130696705,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
4341,bus-4341,true,PQ,-0.03431800311838049,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
7843,bus-7843,true,PQ,-0.0341470727272901,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2568,bus-2568,true,PQ,0.014846393804726484,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
5427,bus-5427,true,PQ,4.254952390417087e-5,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
572,bus-572,true,PQ,-0.012569306362880782,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
2484,bus-2484,true,PQ,-0.03252686508217369,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
205,bus-205,true,PQ,0.013841271394499904,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
7594,bus-7594,true,PQ,-0.030841419473078686,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
5835,bus-5835,true,PQ,-0.0008393640789723294,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3541,bus-3541,true,PQ,-0.006390179104141547,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3263,bus-3263,true,PQ,-0.03075574422715802,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
227,bus-227,true,PV,-0.0029553745919686254,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
6639,bus-6639,true,PQ,0.00150592607227377,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
7385,bus-7385,true,PQ,-0.03484145668258502,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
917,bus-917,true,PV,-0.03453307812224157,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3018,bus-3018,true,PQ,-0.035417735778193814,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
824,bus-824,true,PQ,-0.0347189857072421,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
5637,bus-5637,true,PQ,0.0015973084628179899,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
5419,bus-5419,true,PQ,0.00024456033095422995,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
1601,bus-1601,true,PV,-0.034602469969839914,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
96,bus-96,true,PQ,-0.03454754149121993,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6724,bus-6724,true,PQ,0.000579574158554171,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7705,bus-7705,true,PQ,-0.03558495280676766,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
575,bus-575,true,PQ,-0.012543645799179675,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
5635,bus-5635,true,PQ,0.00153246689278312,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4715,bus-4715,true,PV,0.0020582713072796756,1.0,"(min = 0.94, max = 1.06)",500.0,0,0
6110,bus-6110,true,PQ,0.0004825111209751084,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7684,bus-7684,true,PQ,-0.03578593549864937,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7138,bus-7138,true,PQ,-0.03475352751846832,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2926,bus-2926,true,PQ,-0.03032035177396163,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
36,bus-36,true,PQ,-0.03789742051601225,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8691,bus-8691,true,PQ,-0.0065683135860656406,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
2778,bus-2778,true,PQ,-0.03632451373708584,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3544,bus-3544,true,PQ,0.010406440108976258,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1931,bus-1931,true,PV,-0.0012172582464660495,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6028,bus-6028,true,PQ,-0.0012687535908888674,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8207,bus-8207,true,PQ,0.0004982227773597546,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
629,bus-629,true,PQ,0.013521852963412476,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
2896,bus-2896,true,PQ,-0.021885303955305982,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1185,bus-1185,true,PQ,-0.0324844769687622,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4803,bus-4803,true,PQ,-0.0005482339758171511,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
3360,bus-3360,true,PQ,-0.031108400394361156,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
1793,bus-1793,true,PV,-0.03232584154958749,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2566,bus-2566,true,PQ,0.014895363572200533,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
5694,bus-5694,true,PQ,0.0013539691624631259,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2516,bus-2516,true,PQ,0.010431379973869339,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
1508,bus-1508,true,PV,0.0007467112981721679,1.0,"(min = 0.94, max = 1.06)",500.0,0,0
6195,bus-6195,true,PQ,-0.0005657343154324112,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3642,bus-3642,true,PQ,-0.03580342788654456,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4736,bus-4736,true,PQ,0.012686562468951668,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
1104,bus-1104,true,PQ,0.006527465341746605,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2359,bus-2359,true,PQ,0.0022260980666277083,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6941,bus-6941,true,PQ,0.00680486919478906,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1308,bus-1308,true,PQ,-0.036837683123205914,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1918,bus-1918,true,PV,-0.02843470695128614,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
2585,bus-2585,true,PQ,0.015790045317272097,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4661,bus-4661,true,PQ,-0.006568131530771365,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
4191,bus-4191,true,PQ,-0.009165411876106776,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6338,bus-6338,true,PQ,-0.0007748757775406969,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1548,bus-1548,true,PQ,-0.028614945532343266,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
352,bus-352,true,PQ,-0.0013496422626093,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2884,bus-2884,true,PQ,-0.0321144186471862,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
8218,bus-8218,true,PQ,0.014931842576723418,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
8525,bus-8525,true,PQ,-0.03422541217983171,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
870,bus-870,true,PQ,-0.03452209476525877,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1629,bus-1629,true,PV,0.013906937260851212,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
1778,bus-1778,true,PQ,-0.03453754023100722,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3409,bus-3409,true,PQ,-0.03136666758482012,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
8603,bus-8603,true,PQ,0.015480429335942274,1.0,"(min = 0.94, max = 1.06)",500.0,0,0
4648,bus-4648,true,PQ,-0.031461954533464453,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4199,bus-4199,true,PQ,-0.01228056240755642,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
640,bus-640,true,PQ,-0.027920154042668004,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8582,bus-8582,true,PQ,-0.03556326412375191,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
968,bus-968,true,PQ,-0.034990823356234095,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1117,bus-1117,true,PQ,0.0077632016316042845,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1966,bus-1966,true,PQ,-0.022402786224540668,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
2379,bus-2379,true,PQ,0.010668054404608232,1.0,"(min = 0.94, max = 1.06)",500.0,0,0
8803,bus-8803,true,PQ,0.0053732004454133675,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2172,bus-2172,true,PQ,-0.034175551613760735,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8388,bus-8388,true,PQ,-0.006720896849166265,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
40,bus-40,true,PQ,-0.03424145035939414,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2035,bus-2035,true,PQ,0.0005225390657816947,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7164,bus-7164,true,PQ,-0.03503852128482893,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4633,bus-4633,true,PQ,-0.0335410821936929,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1133,bus-1133,true,PV,-0.029363062415720568,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
8053,bus-8053,true,PQ,-0.029443955110424927,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
7366,bus-7366,true,PQ,-0.03508121273646441,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
5414,bus-5414,true,PQ,-0.0009100376405227997,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
2556,bus-2556,true,PQ,0.014931989358913511,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
2617,bus-2617,true,PQ,0.016212002330606382,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6138,bus-6138,true,PQ,-0.0011804430304427063,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1633,bus-1633,true,PQ,-0.00015992128997752546,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
7263,bus-7263,true,PQ,-0.03446545481677427,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8323,bus-8323,true,PQ,0.002235302025531515,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
4303,bus-4303,true,PQ,-0.004061679254173753,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2408,bus-2408,true,PQ,0.016134301336958437,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
1499,bus-1499,true,PV,-0.03148935253752933,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
201,bus-201,true,PQ,0.015825820378147774,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2257,bus-2257,true,PQ,-0.029412756302847974,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6213,bus-6213,true,PQ,-0.0004840069449385547,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
846,bus-846,true,PQ,-0.034661247946658105,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
837,bus-837,true,PQ,-0.035100961486016574,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8598,bus-8598,true,PQ,0.0056270685160393855,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
3567,bus-3567,true,PQ,-0.04595458762191738,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
127,bus-127,true,PQ,-0.01226997066755118,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7553,bus-7553,true,PQ,-0.0010253437216363576,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7846,bus-7846,true,PQ,0.0025073093205268035,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2780,bus-2780,true,PQ,-0.034492639541604565,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
8510,bus-8510,true,PQ,-0.03142394457848159,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
4049,bus-4049,true,PQ,-0.023606001550099842,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
430,bus-430,true,PQ,-3.364545654815359e-5,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1553,bus-1553,true,PV,0.0022498980395330185,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1653,bus-1653,true,PV,-0.009584781177025593,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
2273,bus-2273,true,PQ,0.00015282670703521315,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7811,bus-7811,true,PQ,-0.028446390534364843,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6684,bus-6684,true,PQ,0.000713934414500113,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
3929,bus-3929,true,PQ,-0.033905860021616996,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6163,bus-6163,true,PQ,-0.0008354411634991456,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3585,bus-3585,true,PQ,-0.033280515531944437,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
2395,bus-2395,true,PQ,0.002205751419633686,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4181,bus-4181,true,PQ,-0.024896592595869908,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6536,bus-6536,true,PQ,-0.0005015085900600951,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6631,bus-6631,true,PQ,0.0015930768823759324,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1211,bus-1211,true,PQ,-0.004436771192578971,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
2699,bus-2699,true,PQ,-0.029227226756163426,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6695,bus-6695,true,PQ,0.0015666111913095638,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7449,bus-7449,true,PQ,-0.03440494721866736,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8135,bus-8135,true,PQ,0.00559656691513873,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6239,bus-6239,true,PQ,0.0003707159860727643,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7049,bus-7049,true,PQ,-0.034101997679495163,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
5726,bus-5726,true,PQ,0.000972486456655636,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7760,bus-7760,true,PQ,0.0007418581815488655,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
4929,bus-4929,true,PQ,-0.004620812706449854,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
5656,bus-5656,true,PQ,0.0014205457468541112,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8377,bus-8377,true,PQ,-0.049634061254907456,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
7394,bus-7394,true,PQ,-0.035071564905425234,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3040,bus-3040,true,PQ,-0.03663829705852393,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
6351,bus-6351,true,PQ,-0.0003287136340592009,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2360,bus-2360,true,PQ,0.0020478861095381187,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3669,bus-3669,true,PQ,-0.035836942396973055,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4476,bus-4476,true,PQ,-0.034848146355074994,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
6237,bus-6237,true,PQ,-3.03697496532479e-5,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1347,bus-1347,true,PQ,-0.03314969350519657,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
1040,bus-1040,true,PV,0.00042819559326177253,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
443,bus-443,true,PQ,-0.0011113725328662414,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
890,bus-890,true,PQ,-0.034615886315799996,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
2073,bus-2073,true,PQ,-0.0011503916023160171,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
634,bus-634,true,PV,-0.02696916829008637,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8284,bus-8284,true,PQ,-0.03103609367237906,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
4275,bus-4275,true,PQ,-0.00471973802081277,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
6248,bus-6248,true,PQ,0.0007177366736167772,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
481,bus-481,true,PV,-0.0008468728484428933,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
