name,available,from_bus_name,from_bus_id,to_bus_name,to_bus_id,r,x,primary_shunt,rating,base_voltage_primary,base_voltage_secondary,from_bus_voltage,to_bus_voltage,from_bus_area,to_bus_area,active_power_flow,reactive_power_flow
bus-8306-bus-8305-i_10523,true,bus-8306,8306,bus-8305,8305,0.00953054317,0.238263579,0.0 + 0.0im,0.4571110065,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7859-bus-7858-i_10288,true,bus-7859,7859,bus-7858,7858,0.0108912905,0.272282261,0.0 + 0.0im,0.4,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7706-bus-7705-i_10207,true,bus-7706,7706,bus-7705,7705,0.0133469221,0.333673052,0.0 + 0.0im,0.32640605450000004,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8630-bus-8631-i_10695,true,bus-8630,8630,bus-8631,8631,0.000114872982,0.00918983856,0.0 + 0.0im,11.86,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8387-bus-8386-i_10566,true,bus-8387,8387,bus-8386,8386,0.029176668,0.7294167,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8221-bus-8222-i_10478,true,bus-8221,8221,bus-8222,8222,0.00235546574,0.0881360957,0.0 + 0.0im,1.236282295,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7827-bus-7829-i_10272,true,bus-7827,7827,bus-7829,7829,0.00236834923,0.0885383417,0.0 + 0.0im,1.230664845,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8859-bus-8858-i_10817,true,bus-8859,8859,bus-8858,8858,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7647-bus-7646-i_10175,true,bus-7647,7647,bus-7646,7646,0.00379210991,0.130302904,0.0 + 0.0im,0.59,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8671-bus-8672-i_10716,true,bus-8671,8671,bus-8672,8672,0.000487672561,0.0294554227,0.0 + 0.0im,3.7,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-7947-bus-7949-i_10334,true,bus-7947,7947,bus-7949,7949,0.00683987198,0.212846074,0.0 + 0.0im,0.51184295,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8589-bus-8590-i_10674,true,bus-8589,8589,bus-8590,8590,0.000968617402,0.0465711247,0.0 + 0.0im,2.34,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-7931-bus-7930-i_10325,true,bus-7931,7931,bus-7930,7930,0.00686854791,0.223441225,0.0 + 0.0im,0.6531071799999999,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7904-bus-7906-i_10312,true,bus-7904,7904,bus-7906,7906,0.00020839695,0.0161771276,0.0 + 0.0im,6.73734915,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8080-bus-8079-i_10403,true,bus-8080,8080,bus-8079,8079,0.0150224696,0.37556174,0.0 + 0.0im,0.29,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8724-bus-8726-i_10745,true,bus-8724,8724,bus-8726,8726,0.000444124764,0.0285305749,0.0 + 0.0im,3.82,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8824-bus-8823-i_10799,true,bus-8824,8824,bus-8823,8823,0.00936225089,0.234056272,0.0 + 0.0im,0.465327861,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7668-bus-7667-i_10186,true,bus-7668,7668,bus-7667,7667,0.00683066513,0.212600039,0.0 + 0.0im,0.5124353899999999,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8248-bus-8249-i_10492,true,bus-8248,8248,bus-8249,8249,0.00314914111,0.11240355,0.0 + 0.0im,0.9693399100000001,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7829-bus-7828-i_10271,true,bus-7829,7829,bus-7828,7828,0.00288946646,0.104722131,0.0 + 0.0im,1.04045374,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8362-bus-8361-i_10553,true,bus-8362,8362,bus-8361,8361,0.000209035805,0.0165138286,0.0 + 0.0im,6.6,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8154-bus-8153-i_10442,true,bus-8154,8154,bus-8153,8153,0.00920696604,0.230174151,0.0 + 0.0im,0.473176089,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7898-bus-7899-i_10308,true,bus-7898,7898,bus-7899,7899,0.00403364105,0.149083373,0.0 + 0.0im,1.16,500.0,115.0,500.0,115.0,0,0,0.0,0.0
bus-8045-bus-8044-i_10385,true,bus-8045,8045,bus-8044,8044,0.0241402548,0.603506369,0.0 + 0.0im,0.241726264,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8795-bus-8794-i_10783,true,bus-8795,8795,bus-8794,8794,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8659-bus-8660-i_10710,true,bus-8659,8659,bus-8660,8660,0.00142980819,0.0601976579,0.0 + 0.0im,1.810191135,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8177-bus-8176-i_10454,true,bus-8177,8177,bus-8176,8176,0.00291908643,0.105637682,0.0 + 0.0im,1.03143506,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8138-bus-8137-i_10434,true,bus-8138,8138,bus-8137,8137,0.00563055101,0.180398553,0.0 + 0.0im,0.603923615,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7841-bus-7840-i_10278,true,bus-7841,7841,bus-7840,7840,0.00201828873,0.0775612136,0.0 + 0.0im,1.404866035,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8739-bus-8740-i_10753,true,bus-8739,8739,bus-8740,8740,0.000254056672,0.0190542504,0.0 + 0.0im,5.72,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7718-bus-7717-i_10213,true,bus-7718,7718,bus-7717,7717,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8105-bus-8104-i_10416,true,bus-8105,8105,bus-8104,8104,0.00395927447,0.134914989,0.0 + 0.0im,0.80756849,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7795-bus-7794-i_10254,true,bus-7795,7795,bus-7794,7794,0.00604642368,0.191589497,0.0 + 0.0im,0.5686416049999999,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7674-bus-7673-i_10190,true,bus-7674,7674,bus-7673,7673,0.00128465912,0.0558826717,0.0 + 0.0im,1.95,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8418-bus-8417-i_10582,true,bus-8418,8418,bus-8417,8417,0.00215932157,0.0819963509,0.0 + 0.0im,1.328866745,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8575-bus-8576-i_10667,true,bus-8575,8575,bus-8576,8576,0.0217825809,0.544564523,0.0 + 0.0im,0.2,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-7997-bus-7998-i_10361,true,bus-7997,7997,bus-7998,7998,0.00173280343,0.0689655763,0.0 + 0.0im,1.58,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8191-bus-8192-i_10462,true,bus-8191,8191,bus-8192,8192,0.00178228929,0.0812010998,0.0 + 0.0im,2.13,500.0,115.0,500.0,115.0,0,0,0.0,0.0
bus-8364-bus-8363-i_10554,true,bus-8364,8364,bus-8363,8363,0.00475033329,0.156565088,0.0 + 0.0im,0.6958758500000001,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8602-bus-8601-i_10680,true,bus-8602,8602,bus-8601,8601,0.01620926,0.4052315,0.0 + 0.0im,0.36,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7819-bus-7820-i_10267,true,bus-7819,7819,bus-7820,7820,0.000705845498,0.0366330969,0.0 + 0.0im,2.9748992449999996,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8617-bus-8618-i_10688,true,bus-8617,8617,bus-8618,8618,0.000662353015,0.0347927839,0.0 + 0.0im,3.132266,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8486-bus-8487-i_10619,true,bus-8486,8486,bus-8487,8487,0.000390216371,0.0272712033,0.0 + 0.0im,3.9964809050000003,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7685-bus-7684-i_10196,true,bus-7685,7685,bus-7684,7684,0.0130384772,0.325961931,0.0 + 0.0im,0.33412768249999997,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8159-bus-8158-i_10444,true,bus-8159,8159,bus-8158,8158,0.00159349992,0.0649700477,0.0 + 0.0im,1.67719178,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7690-bus-7692-i_10200,true,bus-7690,7690,bus-7692,7692,0.000932760309,0.0454772659,0.0 + 0.0im,2.396297975,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8094-bus-8095-i_10411,true,bus-8094,8094,bus-8095,8095,0.0036615978,0.126691284,0.0 + 0.0im,0.86,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-7742-bus-7741-i_10225,true,bus-7742,7742,bus-7741,7741,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8129-bus-8128-i_10429,true,bus-8129,8129,bus-8128,8128,0.029176668,0.7294167,0.0 + 0.0im,0.2,500.0,230.0,500.0,230.0,0,0,0.0,0.0
bus-8136-bus-8135-i_10433,true,bus-8136,8136,bus-8135,8135,0.00381625709,0.130970059,0.0 + 0.0im,0.831898205,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8743-bus-8742-i_10754,true,bus-8743,8743,bus-8742,8742,0.012967408,0.3241852,0.0 + 0.0im,0.45,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8327-bus-8326-i_10534,true,bus-8327,8327,bus-8326,8326,0.0174260647,0.435651618,0.0 + 0.0im,0.25,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8477-bus-8476-i_10613,true,bus-8477,8477,bus-8476,8476,0.00156919252,0.0642669783,0.0 + 0.0im,1.6955445199999999,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8622-bus-8621-i_10690,true,bus-8622,8622,bus-8621,8621,0.0134987355,0.337468389,0.0 + 0.0im,0.32273513049999997,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8049-bus-8048-i_10387,true,bus-8049,8049,bus-8048,8048,0.029176668,0.7294167,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8053-bus-8052-i_10389,true,bus-8053,8053,bus-8052,8052,0.00468305772,0.154733576,0.0 + 0.0im,1.40822846,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8339-bus-8342-i_10542,true,bus-8339,8339,bus-8342,8342,6.17026072e-5,0.00493620858,0.0 + 0.0im,22.08,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8335-bus-8336-i_10539,true,bus-8335,8335,bus-8336,8336,0.000351334565,0.0255355441,0.0 + 0.0im,4.26815595,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8663-bus-8664-i_10712,true,bus-8663,8663,bus-8664,8664,0.000769756323,0.0393233398,0.0 + 0.0im,2.771359785,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8061-bus-8060-i_10393,true,bus-8061,8061,bus-8060,8060,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8043-bus-8042-i_10384,true,bus-8043,8043,bus-8042,8042,0.0040071798,0.144498903,0.0 + 0.0im,1.01,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8394-bus-8395-i_10570,true,bus-8394,8394,bus-8395,8395,0.00439354362,0.14683265,0.0 + 0.0im,0.7420096100000001,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8607-bus-8608-i_10683,true,bus-8607,8607,bus-8608,8608,0.00264938344,0.0972853598,0.0 + 0.0im,1.12,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7770-bus-7772-i_10240,true,bus-7770,7770,bus-7772,7772,0.00435771764,0.145852647,0.0 + 0.0im,0.7469962649999999,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8150-bus-8149-i_10440,true,bus-8150,8150,bus-8149,8149,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8217-bus-8218-i_10476,true,bus-8217,8217,bus-8218,8218,0.00098480247,0.0470612385,0.0 + 0.0im,2.315624195,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8215-bus-8216-i_10475,true,bus-8215,8215,bus-8216,8216,0.0217825809,0.544564523,0.0 + 0.0im,0.2,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8175-bus-8174-i_10453,true,bus-8175,8175,bus-8174,8174,0.00314641667,0.112327075,0.0 + 0.0im,0.97,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8016-bus-8017-i_10371,true,bus-8016,8016,bus-8017,8017,0.000511981496,0.0299406779,0.0 + 0.0im,3.64,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8254-bus-8253-i_10494,true,bus-8254,8254,bus-8253,8253,0.00207737245,0.0794215363,0.0 + 0.0im,1.371954485,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8841-bus-8840-i_10808,true,bus-8841,8841,bus-8840,8840,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8078-bus-8077-i_10402,true,bus-8078,8078,bus-8077,8077,0.029176668,0.7294167,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7936-bus-7935-i_10327,true,bus-7936,7936,bus-7935,7935,0.00929223656,0.232305914,0.0 + 0.0im,0.46883397250000003,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8573-bus-8574-i_10666,true,bus-8573,8573,bus-8574,8574,0.000587151423,0.0315887466,0.0 + 0.0im,3.45,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8778-bus-8779-i_10775,true,bus-8778,8778,bus-8779,8779,0.000490080988,0.0295044396,0.0 + 0.0im,3.693849735,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8546-bus-8545-i_10652,true,bus-8546,8546,bus-8545,8545,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8070-bus-8069-i_10398,true,bus-8070,8070,bus-8069,8069,0.00294272386,0.111411525,0.0 + 0.0im,1.31,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8564-bus-8563-i_10661,true,bus-8564,8564,bus-8563,8563,0.029176668,0.7294167,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8223-bus-8224-i_10479,true,bus-8223,8223,bus-8224,8224,0.00261012074,0.0960662518,0.0 + 0.0im,1.134215065,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8190-bus-8189-i_10461,true,bus-8190,8190,bus-8189,8189,0.029176668,0.7294167,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8242-bus-8243-i_10489,true,bus-8242,8242,bus-8243,8243,0.0020568903,0.0787770171,0.0 + 0.0im,1.3831808799999998,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8106-bus-8108-i_10418,true,bus-8106,8106,bus-8108,8108,0.000353905907,0.0256531664,0.0 + 0.0im,4.248583855,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8756-bus-8755-i_10761,true,bus-8756,8756,bus-8755,8755,0.00374511785,0.136397192,0.0 + 0.0im,1.07,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8588-bus-8587-i_10673,true,bus-8588,8588,bus-8587,8587,0.00377055557,0.129707112,0.0 + 0.0im,0.84,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8870-bus-8869-i_10823,true,bus-8870,8870,bus-8869,8869,0.0167558315,0.418895787,0.0 + 0.0im,0.26,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7965-bus-7964-i_10343,true,bus-7965,7965,bus-7964,7964,0.00546081306,0.18504748,0.0 + 0.0im,0.788643375,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7800-bus-7802-i_10258,true,bus-7800,7800,bus-7802,7802,0.00368582805,0.12736255,0.0 + 0.0im,0.8554664150000001,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8475-bus-8477-i_10614,true,bus-8475,8475,bus-8477,8477,0.000925591254,0.0452571925,0.0 + 0.0im,2.40795341,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7850-bus-7851-i_10284,true,bus-7850,7850,bus-7851,7851,0.00413954619,0.139872732,0.0 + 0.0im,0.77893879,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8684-bus-8685-i_10723,true,bus-8684,8684,bus-8685,8685,0.0217825809,0.544564523,0.0 + 0.0im,0.2,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7897-bus-7896-i_10307,true,bus-7897,7897,bus-7896,7896,0.00413261745,0.13968247,0.0 + 0.0im,0.94,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8145-bus-8146-i_10438,true,bus-8145,8145,bus-8146,8146,0.00254429449,0.0940203251,0.0 + 0.0im,1.15889954,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7971-bus-7970-i_10348,true,bus-7971,7971,bus-7970,7970,0.000109666913,0.00877335307,0.0 + 0.0im,16.64,500.0,230.0,500.0,230.0,0,0,0.0,0.0
bus-7969-bus-7968-i_10345,true,bus-7969,7969,bus-7968,7968,0.0169800686,0.424501715,0.0 + 0.0im,0.343657834,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7906-bus-7905-i_10311,true,bus-7906,7906,bus-7905,7905,0.000272991382,0.0218235282,0.0 + 0.0im,4.99421873,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7963-bus-7962-i_10342,true,bus-7963,7963,bus-7962,7962,0.000273837422,0.0191686195,0.0 + 0.0im,7.6158382,500.0,230.0,500.0,230.0,0,0,0.0,0.0
bus-8207-bus-8208-i_10471,true,bus-8207,8207,bus-8208,8208,0.000270329671,0.021329011,0.0 + 0.0im,5.11,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-7709-bus-7710-i_10209,true,bus-7709,7709,bus-7710,7710,0.000250121199,0.0187590899,0.0 + 0.0im,5.81,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-7948-bus-7947-i_10335,true,bus-7948,7948,bus-7947,7947,0.000129126905,0.0103301524,0.0 + 0.0im,28.2645578,500.0,230.0,500.0,230.0,0,0,0.0,0.0
bus-8110-bus-8109-i_10419,true,bus-8110,8110,bus-8109,8109,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8227-bus-8226-i_10480,true,bus-8227,8227,bus-8226,8226,0.00163098578,0.0660507413,0.0 + 0.0im,1.64974355,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8000-bus-7999-i_10362,true,bus-8000,8000,bus-7999,7999,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7821-bus-7822-i_10268,true,bus-7821,7821,bus-7822,7822,0.00090630959,0.0446629366,0.0 + 0.0im,2.44,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-7736-bus-7735-i_10222,true,bus-7736,7736,bus-7735,7735,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8800-bus-8799-i_10786,true,bus-8800,8800,bus-8799,8799,0.00406828001,0.137914692,0.0 + 0.0im,0.79,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8269-bus-8268-i_10505,true,bus-8269,8269,bus-8268,8268,9.48963827e-5,0.00759171061,0.0 + 0.0im,19.23,500.0,230.0,500.0,230.0,0,0,0.0,0.0
bus-8637-bus-8636-i_10698,true,bus-8637,8637,bus-8636,8636,0.00165306137,0.066685212,0.0 + 0.0im,1.6340433250000002,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8830-bus-8829-i_10802,true,bus-8830,8830,bus-8829,8829,0.00166237307,0.066952414,0.0 + 0.0im,1.62752036,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8236-bus-8237-i_10486,true,bus-8236,8236,bus-8237,8237,0.0031720725,0.113046998,0.0 + 0.0im,0.9638213849999999,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8764-bus-8763-i_10767,true,bus-8764,8764,bus-8763,8763,0.0233413344,0.58353336,0.0 + 0.0im,0.25,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8420-bus-8419-i_10586,true,bus-8420,8420,bus-8419,8419,0.000457904516,0.0336203119,0.0 + 0.0im,4.34221017,500.0,230.0,500.0,230.0,0,0,0.0,0.0
bus-8432-bus-8431-i_10591,true,bus-8432,8432,bus-8431,8431,0.0207453151,0.518632879,0.0 + 0.0im,0.21,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8816-bus-8815-i_10795,true,bus-8816,8816,bus-8815,8815,0.00289947371,0.105031499,0.0 + 0.0im,1.0373887050000001,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8084-bus-8085-i_10406,true,bus-8084,8084,bus-8085,8085,0.000301190481,0.0231908584,0.0 + 0.0im,4.699731525000001,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8130-bus-8132-i_10431,true,bus-8130,8130,bus-8132,8132,0.0217825809,0.544564523,0.0 + 0.0im,0.2,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8488-bus-8491-i_10621,true,bus-8488,8488,bus-8491,8491,0.00112127657,0.0511126792,0.0 + 0.0im,2.132030315,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7882-bus-7883-i_10300,true,bus-7882,7882,bus-7883,7883,0.00438049105,0.146475664,0.0 + 0.0im,0.7438183700000001,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8485-bus-8484-i_10618,true,bus-8485,8485,bus-8484,8484,0.029176668,0.7294167,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7773-bus-7775-i_10243,true,bus-7773,7773,bus-7775,7775,0.00159847076,0.065113599,0.0 + 0.0im,1.6734932800000002,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7973-bus-7972-i_10346,true,bus-7973,7973,bus-7972,7972,0.0190595792,0.47648948,0.0 + 0.0im,0.30616277199999997,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8108-bus-8107-i_10417,true,bus-8108,8108,bus-8107,8107,0.00150412853,0.0685280958,0.0 + 0.0im,2.13,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8614-bus-8613-i_10686,true,bus-8614,8614,bus-8613,8613,0.00261012074,0.0960662518,0.0 + 0.0im,1.134215065,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8436-bus-8435-i_10593,true,bus-8436,8436,bus-8435,8435,0.00906068343,0.226517086,0.0 + 0.0im,0.48081540599999995,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8448-bus-8447-i_10599,true,bus-8448,8448,bus-8447,8447,0.00323074219,0.114691348,0.0 + 0.0im,0.95,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8832-bus-8831-i_10803,true,bus-8832,8832,bus-8831,8831,0.000499572452,0.0355196014,0.0 + 0.0im,4.11,500.0,230.0,500.0,230.0,0,0,0.0,0.0
bus-8712-bus-8711-i_10737,true,bus-8712,8712,bus-8711,8711,0.0182500622,0.456251555,0.0 + 0.0im,0.23871240149999998,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8319-bus-8318-i_10530,true,bus-8319,8319,bus-8318,8318,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8662-bus-8661-i_10711,true,bus-8662,8662,bus-8661,8661,0.029176668,0.7294167,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7927-bus-7929-i_10323,true,bus-7927,7927,bus-7929,7929,6.03095869e-5,0.00482476695,0.0 + 0.0im,22.59,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8616-bus-8615-i_10687,true,bus-8616,8616,bus-8615,8615,0.029176668,0.7294167,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8229-bus-8228-i_10482,true,bus-8229,8229,bus-8228,8228,0.0174260647,0.435651618,0.0 + 0.0im,0.25,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8381-bus-8380-i_10563,true,bus-8381,8381,bus-8380,8380,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8265-bus-8264-i_10501,true,bus-8265,8265,bus-8264,8264,0.0217825809,0.544564523,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7967-bus-7966-i_10344,true,bus-7967,7967,bus-7966,7966,0.0185092524,0.46273131,0.0 + 0.0im,0.3152657635,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8168-bus-8169-i_10450,true,bus-8168,8168,bus-8169,8169,0.0217825809,0.544564523,0.0 + 0.0im,0.2,230.0,66.0,230.0,66.0,0,0,0.0,0.0
