number,name,available,bustype,angle,magnitude,base_voltage,area,load_zone
316,Chifa,true,PV,0.11516991401597582,1.04558,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(36.0, 611.0, 123.0, Dict{String, Any}())"
108,Alger,true,PQ,-0.23997701256268875,1.01024,138.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(12.0, 529.0, 108.0, Dict{String, Any}())"
223,Bloch,true,PV,0.125340994764898,1.05,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(25.0, 309.0, 63.0, Dict{String, Any}())"
104,Agricola,true,PQ,-0.18441393222667365,1.01765,138.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(11.0, 433.0, 88.0, Dict{String, Any}())"
118,Astor,true,PV,0.21859498389650622,1.05,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(17.0, 333.0, 68.0, Dict{String, Any}())"
105,Aiken,true,PQ,-0.18690504066804514,1.03568,138.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(11.0, 433.0, 88.0, Dict{String, Any}())"
319,Clay,true,PQ,0.10324303203954738,1.03953,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(35.0, 309.0, 63.0, Dict{String, Any}())"
213,Barlow,true,PV,-0.05611408078086969,1.03752,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(24.0, 265.0, 54.0, Dict{String, Any}())"
304,Caine,true,PQ,-0.21271793670626568,1.01785,138.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(31.0, 433.0, 88.0, Dict{String, Any}())"
224,Bordet,true,PQ,-0.01675603348377156,1.01456,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(26.0, 611.0, 123.0, Dict{String, Any}())"
210,Banks,true,PQ,-0.23526793970788284,1.05,138.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(23.0, 370.0, 76.0, Dict{String, Any}())"
325,Curtiss,true,PQ,0.15696304468545644,1.04986,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(35.0, 309.0, 63.0, Dict{String, Any}())"
216,Basov,true,PV,0.0820320456400603,1.04556,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(26.0, 611.0, 123.0, Dict{String, Any}())"
209,Balzac,true,PQ,-0.204623972300142,1.02781,138.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(23.0, 370.0, 76.0, Dict{String, Any}())"
306,Camus,true,PQ,-0.26078796949761873,1.0326,138.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(32.0, 529.0, 108.0, Dict{String, Any}())"
314,Chain,true,PV,-0.0559889406735017,1.04631,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(36.0, 611.0, 123.0, Dict{String, Any}())"
312,Caxton,true,PQ,-0.0723620489193857,1.019,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(33.0, 370.0, 76.0, Dict{String, Any}())"
106,Alber,true,PQ,-0.23176995082103577,1.03242,138.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(12.0, 529.0, 108.0, Dict{String, Any}())"
318,Clark,true,PV,0.19796606480255924,1.05,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(37.0, 333.0, 68.0, Dict{String, Any}())"
119,Attar,true,PQ,0.11620000734050288,1.03962,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(15.0, 309.0, 63.0, Dict{String, Any}())"
111,Anna,true,PQ,-0.0683600089445627,1.02764,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(13.0, 370.0, 76.0, Dict{String, Any}())"
115,Arthur,true,PV,0.13892297247099264,1.04335,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(16.0, 611.0, 123.0, Dict{String, Any}())"
313,Cecil,true,PV,-0.04215197036369065,1.03802,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(34.0, 265.0, 54.0, Dict{String, Any}())"
220,Beethoven,true,PQ,0.09886400094629359,1.0438,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(25.0, 309.0, 63.0, Dict{String, Any}())"
123,Austen,true,PV,0.15805998412033487,1.05,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(15.0, 309.0, 63.0, Dict{String, Any}())"
120,Attila,true,PQ,0.13509895607987307,1.04399,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(15.0, 309.0, 63.0, Dict{String, Any}())"
101,Abel,true,PV,-0.13511501310899143,1.04777,138.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(11.0, 433.0, 88.0, Dict{String, Any}())"
208,Balch,true,PQ,-0.2831550619936269,1.01203,138.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(22.0, 529.0, 108.0, Dict{String, Any}())"
309,Carter,true,PQ,-0.18232006072305607,1.02579,138.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(33.0, 370.0, 76.0, Dict{String, Any}())"
320,Clive,true,PQ,0.1256129170623587,1.04389,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(35.0, 309.0, 63.0, Dict{String, Any}())"
221,Behring,true,PV,0.1855649768683639,1.05,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(27.0, 333.0, 68.0, Dict{String, Any}())"
305,Calvin,true,PQ,-0.2155490352859257,1.03609,138.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(31.0, 433.0, 88.0, Dict{String, Any}())"
302,Cabot,true,PV,-0.1646020017555852,1.04864,138.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(32.0, 529.0, 108.0, Dict{String, Any}())"
218,Bayle,true,PV,0.17444094634785287,1.05,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(27.0, 333.0, 68.0, Dict{String, Any}())"
219,Bede,true,PQ,0.07351902768053274,1.03946,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(25.0, 309.0, 63.0, Dict{String, Any}())"
114,Arnold,true,PV,-0.03020396990331307,1.04401,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(16.0, 611.0, 123.0, Dict{String, Any}())"
207,Baker,true,PV,-0.23502708427110763,1.03973,138.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(22.0, 529.0, 108.0, Dict{String, Any}())"
214,Barry,true,PV,-0.08177199158151313,1.04335,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(26.0, 611.0, 123.0, Dict{String, Any}())"
212,Barkla,true,PQ,-0.09168807972671891,1.01921,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(23.0, 370.0, 76.0, Dict{String, Any}())"
113,Arne,true,REF,0.0,1.03943,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(14.0, 265.0, 54.0, Dict{String, Any}())"
203,Baffin,true,PQ,-0.18281503609892163,1.01886,138.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(21.0, 433.0, 88.0, Dict{String, Any}())"
112,Archer,true,PQ,-0.042310969858547334,1.02024,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(13.0, 370.0, 76.0, Dict{String, Any}())"
