name,available,active_power_flow,reactive_power_flow,arc,r,x,b,rating,angle_limits,g
B27,true,0.0,0.0,"Arc(ACBus(216, Basov, true, ACBusTypes.PV = 2, 0.0820320456400603, 1.04556, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(26.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(217, Bates, true, ACBusTypes.PQ = 1, 0.15390994022494278, 1.04847, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.026,"(from = 0.0275, to = 0.0275)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A21,true,0.0,0.0,"Arc(ACBus(112, Archer, true, ACBusTypes.PQ = 1, -0.042310969858547334, 1.02024, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(13.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(123, Austen, true, ACBusTypes.PV = 2, 0.15805998412033487, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(15.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.012,0.097,"(from = 0.1015, to = 0.1015)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A32-1,true,0.0,0.0,"Arc(ACBus(119, Attar, true, ACBusTypes.PQ = 1, 0.11620000734050288, 1.03962, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(15.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(120, Attila, true, ACBusTypes.PQ = 1, 0.13509895607987307, 1.04399, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(15.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.005,0.04,"(from = 0.0415, to = 0.0415)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B29,true,0.0,0.0,"Arc(ACBus(217, Bates, true, ACBusTypes.PQ = 1, 0.15390994022494278, 1.04847, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(218, Bayle, true, ACBusTypes.PV = 2, 0.17444094634785287, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.002,0.014,"(from = 0.015, to = 0.015)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A18,true,0.0,0.0,"Arc(ACBus(111, Anna, true, ACBusTypes.PQ = 1, -0.0683600089445627, 1.02764, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(13.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(113, Arne, true, ACBusTypes.REF = 3, 0.0, 1.03943, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(14.0, 265.0, 54.0, Dict{String, Any}()), Dict{String, Any}()))",0.006,0.048,"(from = 0.05, to = 0.05)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C5,true,0.0,0.0,"Arc(ACBus(302, Cabot, true, ACBusTypes.PV = 2, -0.1646020017555852, 1.04864, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(32.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(306, Camus, true, ACBusTypes.PQ = 1, -0.26078796949761873, 1.0326, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(32.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()))",0.05,0.192,"(from = 0.026, to = 0.026)",0.6785445172435975,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
AB-2,true,0.0,0.0,"Arc(ACBus(113, Arne, true, ACBusTypes.REF = 3, 0.0, 1.03943, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(14.0, 265.0, 54.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(215, Barton, true, ACBusTypes.PV = 2, 0.08087000542408246, 1.04327, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(26.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()))",0.01,0.075,"(from = 0.079, to = 0.079)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
AB-3,true,0.0,0.0,"Arc(ACBus(123, Austen, true, ACBusTypes.PV = 2, 0.15805998412033487, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(15.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(217, Bates, true, ACBusTypes.PQ = 1, 0.15390994022494278, 1.04847, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.01,0.074,"(from = 0.0775, to = 0.0775)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C13-2,true,0.0,0.0,"Arc(ACBus(308, Carrel, true, ACBusTypes.PQ = 1, -0.26499107140227146, 1.01056, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(32.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(310, Caruso, true, ACBusTypes.PQ = 1, -0.2146959183475509, 1.05, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(33.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()))",0.043,0.165,"(from = 0.0225, to = 0.0225)",0.6785445172435975,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C24,true,0.0,0.0,"Arc(ACBus(315, Chase, true, ACBusTypes.PV = 2, 0.12306107116301779, 1.043, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(316, Chifa, true, ACBusTypes.PV = 2, 0.11516991401597582, 1.04558, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()))",0.002,0.017,"(from = 0.018, to = 0.018)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C28,true,0.0,0.0,"Arc(ACBus(316, Chifa, true, ACBusTypes.PV = 2, 0.11516991401597582, 1.04558, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(319, Clay, true, ACBusTypes.PQ = 1, 0.10324303203954738, 1.03953, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.023,"(from = 0.0245, to = 0.0245)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
AB-1,true,0.0,0.0,"Arc(ACBus(107, Alder, true, ACBusTypes.PV = 2, -0.19681606735842017, 1.03745, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(12.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(203, Baffin, true, ACBusTypes.PQ = 1, -0.18281503609892163, 1.01886, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(21.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()))",0.042,0.161,"(from = 0.022, to = 0.022)",3.8721662699980706,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A29,true,0.0,0.0,"Arc(ACBus(117, Aston, true, ACBusTypes.PQ = 1, 0.19956391373276003, 1.04783, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(118, Astor, true, ACBusTypes.PV = 2, 0.21859498389650622, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.002,0.014,"(from = 0.015, to = 0.015)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A3,true,0.0,0.0,"Arc(ACBus(101, Abel, true, ACBusTypes.PV = 2, -0.13511501310899143, 1.04777, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(11.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(105, Aiken, true, ACBusTypes.PQ = 1, -0.18690504066804514, 1.03568, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(11.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()))",0.022,0.085,"(from = 0.0115, to = 0.0115)",3.8721662699980706,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C27,true,0.0,0.0,"Arc(ACBus(316, Chifa, true, ACBusTypes.PV = 2, 0.11516991401597582, 1.04558, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(317, Chuhsi, true, ACBusTypes.PQ = 1, 0.18053999941894702, 1.04785, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(37.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.026,"(from = 0.0275, to = 0.0275)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C35,true,0.0,0.0,"Arc(ACBus(323, Comte, true, ACBusTypes.PV = 2, 0.15046692920953353, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(325, Curtiss, true, ACBusTypes.PQ = 1, 0.15696304468545644, 1.04986, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.0,0.009,"(from = 0.0, to = 0.0)",2.7994808082850136,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A25-1,true,0.0,0.0,"Arc(ACBus(115, Arthur, true, ACBusTypes.PV = 2, 0.13892297247099264, 1.04335, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(16.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(121, Attlee, true, ACBusTypes.PV = 2, 0.22840303616101354, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.006,0.049,"(from = 0.0515, to = 0.0515)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B5,true,0.0,0.0,"Arc(ACBus(202, Bacon, true, ACBusTypes.PV = 2, -0.1877810214196211, 1.04844, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(22.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(206, Bajer, true, ACBusTypes.PQ = 1, -0.28198796032281825, 1.03259, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(22.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()))",0.05,0.192,"(from = 0.026, to = 0.026)",0.6992892127583322,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B2,true,0.0,0.0,"Arc(ACBus(201, Bach, true, ACBusTypes.PV = 2, -0.18657098464921346, 1.04841, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(21.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(203, Baffin, true, ACBusTypes.PQ = 1, -0.18281503609892163, 1.01886, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(21.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()))",0.055,0.211,"(from = 0.0285, to = 0.0285)",0.6992892127583322,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B31-1,true,0.0,0.0,"Arc(ACBus(218, Bayle, true, ACBusTypes.PV = 2, 0.17444094634785287, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(221, Behring, true, ACBusTypes.PV = 2, 0.1855649768683639, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.026,"(from = 0.0275, to = 0.0275)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C20,true,0.0,0.0,"Arc(ACBus(312, Caxton, true, ACBusTypes.PQ = 1, -0.0723620489193857, 1.019, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(33.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(313, Cecil, true, ACBusTypes.PV = 2, -0.04215197036369065, 1.03802, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(34.0, 265.0, 54.0, Dict{String, Any}()), Dict{String, Any}()))",0.006,0.048,"(from = 0.05, to = 0.05)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B23,true,0.0,0.0,"Arc(ACBus(214, Barry, true, ACBusTypes.PV = 2, -0.08177199158151313, 1.04335, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(26.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(216, Basov, true, ACBusTypes.PV = 2, 0.0820320456400603, 1.04556, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(26.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()))",0.005,0.059,"(from = 0.041, to = 0.041)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A28,true,0.0,0.0,"Arc(ACBus(116, Asser, true, ACBusTypes.PV = 2, 0.13210903253828157, 1.04565, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(16.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(119, Attar, true, ACBusTypes.PQ = 1, 0.11620000734050288, 1.03962, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(15.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.023,"(from = 0.0245, to = 0.0245)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A19,true,0.0,0.0,"Arc(ACBus(111, Anna, true, ACBusTypes.PQ = 1, -0.0683600089445627, 1.02764, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(13.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(114, Arnold, true, ACBusTypes.PV = 2, -0.03020396990331307, 1.04401, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(16.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()))",0.005,0.042,"(from = 0.044, to = 0.044)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C9,true,0.0,0.0,"Arc(ACBus(305, Calvin, true, ACBusTypes.PQ = 1, -0.2155490352859257, 1.03609, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(31.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(310, Caruso, true, ACBusTypes.PQ = 1, -0.2146959183475509, 1.05, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(33.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()))",0.023,0.088,"(from = 0.012, to = 0.012)",0.6785445172435975,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C1,true,0.0,0.0,"Arc(ACBus(301, Cabell, true, ACBusTypes.PV = 2, -0.1631570436678591, 1.0486, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(31.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(302, Cabot, true, ACBusTypes.PV = 2, -0.1646020017555852, 1.04864, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(32.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.014,"(from = 0.2305, to = 0.2305)",0.6785445172435975,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
